model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,max_features,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_mat_norm
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,2,False,sqrt,None,-2,0.0,0.0,0.23429999999999995,0.02954,3214.0,10000.000000000004,956.7727002794344,4658,678.5292919248218,5,0,6.286945556827233,0.16555518717334108,6.222775357809585,0.06222775357809584,68.52129999999991,4.408273383985752,3214,3214.0,1607.0000000000005,32.570350543425484,0.22347962951464093
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,3,False,sqrt,None,-2,0.0,0.0,0.16410000000000002,0.02483111111111114,4795.0,10000.000000000005,953.0472764302467,6450,649.6629895568933,3,0,6.518004659498036,0.20796922849306335,6.256517205422315,0.06256517205422314,48.056888888888686,4.814648059088552,4795,4795.0,1598.3333333333376,29.850836009224324,0.18247035340569923
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,False,sqrt,None,-2,0.0,0.0,0.13570000000000004,0.022212500000000003,6529.0,10000.00000000001,753.595050408374,7793,307.5873859572268,3,0,6.87247796119395,0.21567735161578744,6.126512482769185,0.061265124827691836,29.07294999999999,4.975477136685301,6529,6529.0,1632.2499999999998,28.494100143068724,0.15802396148685988
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,5,False,sqrt,None,-2,0.0,0.0,0.119,0.020775199999999935,8020.0,10000.000000000011,784.9537056412946,8245,285.9020811396797,3,0,6.922672887108997,0.25111089183864566,6.234413965087282,0.06234413965087283,25.222672000000014,5.180620309970509,8020,8020.0,1604.0000000000002,27.24905053258307,0.141340927983371
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,10,False,sqrt,None,-2,0.0,0.0,0.07599999999999996,0.016880799999999842,10000.0,10000.00000000002,730.5742262083985,9371,171.7905701719393,3,0,7.320721694446317,0.34983353184050264,6.186204763377666,0.06186204763377667,12.238350000000027,5.579661308688977,16165,10000.0,1616.5000000000032,25.335396057135686,0.09994312863624108
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,15,False,sqrt,None,-2,0.0,0.0,0.06440000000000001,0.015693333333333028,10000.0,10000.00000000002,667.8153171182717,9761,105.63143471523995,3,0,7.50890062931585,0.4221289850270886,6.172077521293668,0.061720775212936674,7.919683555555574,5.806006692596066,24303,10000.0,1620.2000000000094,24.62625870576753,0.08160322281871074
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,None,-2,0.0,0.0,0.05930000000000002,0.015281099999999718,10000.0,10000.000000000015,692.7676811168374,9803,105.41347162483551,3,0,7.563899986873104,0.49842295292251537,6.190034045187247,0.061900340451872496,6.2106360000000205,5.911930719826125,32310,10000.0,1615.500000000005,24.239685108206704,0.07067046399168551
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,2,-2,0.6827,0.08006703901872628,0.6923,0.08071112706974537,4.0,10000.0,5380.7040431527175,4,5380.7040431527175,4,4,1.310999071970278,0.5380704043152718,2500.0,25.0,2895.19760000001,7.899341300005465,4,4.0,3.9999999999999996,1.9999999999999998,0.13647883925100565
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,4,-2,0.4686,0.0634789464216283,0.4675,0.0636914353314716,16.0,10000.0,2803.454654528944,16,2803.454654528944,16,16,2.624261080626016,0.2803454654528944,625.0,6.25,785.9357999999834,6.586079291350333,16,16.0,16.0,4.0,0.18746873677506898
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,5,-2,0.4152,0.055890002066494006,0.43600000000000005,0.057600953075184966,32.0,10000.0,2372.3730735278546,32,2372.3730735278546,32,32,3.0940462332337066,0.23723730735278548,312.5,3.125,562.8154000000119,6.116294138742654,32,32.0,32.0,5.65685424949238,0.20495075470549703
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,6,-2,0.3084,0.04458324121489786,0.3247,0.04693087038370818,64.0,10000.0,1991.0509787546878,64,1991.0509787546878,64,64,3.6276447607534896,0.1991050978754688,156.25,1.5625,396.42839999999757,5.582695611222745,64,64.0,64.0,8.0,0.23333027157057523
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,8,-2,0.22099999999999997,0.03215750836423795,0.2811,0.04228050358356795,230.0,10000.0,1611.7456374999126,230,1611.7456374999126,13,0,4.383725606786994,0.16117456374999126,43.478260869565226,0.4347826086956522,259.7723999999995,4.82661476518909,230,230.0,230.0,15.165750888103101,0.2592918876388064
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,10,-2,0.15769999999999995,0.02294038339304241,0.25649999999999995,0.04043223511885787,466.0,10000.0,1510.936795501387,466,1510.936795501387,10,0,4.809344630756423,0.1510936795501387,21.459227467811168,0.2145922746781116,228.29299999998275,4.4009957412197105,466,466.0,466.0,21.587033144922906,0.27680125417817447
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,15,-2,0.00990000000000002,0.0016925838975924638,0.23950000000000005,0.04737829791773281,1466.0,10000.0,1264.2033064345308,1466,1264.2033064345308,8,0,5.576267347784371,0.12642033064345307,6.821282401091404,0.06821282401091405,159.82100000000503,3.634073024191743,1466,1466.0,1466.0,38.28837943815329,0.31336081732907173
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,25,-2,0.0,0.0,0.23950000000000005,0.04789999999999999,1614.0,10000.0,1127.0368228234604,1614,1127.0368228234604,7,0,5.803897373416799,0.11270368228234603,6.195786864931845,0.06195786864931845,127.0212000000041,3.4064429985593385,1614,1614.0,1614.0,40.17461885320134,0.3160479229737198
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,None,-2,0.0,0.0,0.24180000000000001,0.04836,1611.0,10000.0,1081.9990757851876,1611,1081.9990757851876,9,0,5.835458491108055,0.10819990757851876,6.207324643078833,0.062073246430788334,117.07220000000133,3.3748818808681156,1611,1611.0,1611.0,40.13726448077895,0.3160479229737198
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,2,False,sqrt,None,-2,0.0,0.0,0.24239999999999995,0.031,3291.0,10000.000000000004,947.2454803270377,4780,715.2160512740189,7,0,6.324903509383338,0.1601882642393006,6.077180188392585,0.06077180188392585,64.1506999999997,4.2923339138053915,3291,3291.0,1645.5000000000014,33.12678797855437,0.22347962951464093
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,3,False,sqrt,None,-2,0.0,0.0,0.1765,0.02600222222222224,4894.0,10000.000000000005,807.3455820705833,6773,420.4973246050443,4,0,6.665217841307859,0.1885610246047682,6.129955046996324,0.061299550469963215,39.50584444444457,4.72932253768088,4894,4894.0,1631.3333333333371,30.032181884754213,0.18247035340569923
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,False,sqrt,None,-2,0.0,0.0,0.1351,0.021935,6276.0,10000.000000000007,759.0659556323153,7461,305.6174078811611,5,0,6.76062140668192,0.2167658183385932,6.373486297004459,0.0637348629700446,29.367137500000037,5.013150644291762,6276,6276.0,1569.0000000000023,28.264502716316272,0.15802396148685985
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,5,False,sqrt,None,-2,0.0,0.0,0.11529999999999996,0.020187199999999912,8071.0,10000.00000000001,718.1423814258562,8412,215.3740931495708,2,0,6.984206706189293,0.24160463571711532,6.195019204559532,0.06195019204559533,23.349120000000003,5.188794547998518,8071,8071.0,1614.2000000000032,27.407207857304883,0.141340927983371
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,10,False,sqrt,None,-2,0.0,0.0,0.0797,0.016978599999999837,10000.0,10000.000000000013,760.9414432136023,9289,176.93501631955164,4,0,7.283158910491866,0.36061369912969193,6.1576354679802945,0.061576354679802964,13.004224000000029,5.606032555524835,16240,10000.0,1624.0000000000098,25.477813103560337,0.09994312863624107
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,15,False,sqrt,None,-2,0.0,0.0,0.06699999999999995,0.01588577777777745,10000.0,10000.000000000013,704.1342864350049,9698,115.23020437367974,3,0,7.471104423973706,0.43065937816329974,6.184036939313985,0.06184036939313985,8.243000000000015,5.793025320456704,24256,10000.0,1617.066666666673,24.71155274454422,0.08160322281871074
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,None,-2,0.0,0.0,0.06230000000000002,0.015293199999999707,10000.0,10000.000000000016,697.0067754333526,9782,114.71704319759989,3,0,7.567371354428011,0.49639184119000185,6.178369528281486,0.061783695282814875,6.1601215,5.896806518699237,32371,10000.0,1618.5500000000084,24.334322857905054,0.0706704639916855
