model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_mat_norm
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,False,None,-2,0.0,0.0,0.1854,0.031191249999999997,3867.0,10000.000000000007,1761.603814709767,999,1759.6380309597766,11,0,4.705611399766836,0.35261639213173285,10.34393586759762,0.1034393586759762,77.71145000000091,4.522129134882164,3867,3867.0,966.7500000000001,30.935605517365552,0.15802396148685985
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,5,False,None,-2,0.0,0.0,0.18100000000000005,0.030722400000000104,4833.0,10000.000000000011,1762.0658103487524,989,1760.1971480490474,11,0,4.703738994833988,0.3942534971309703,10.345541071798053,0.10345541071798053,62.17432799999943,4.520421216050288,4833,4833.0,966.6,30.978357888111596,0.141340927983371
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,7,False,None,-2,0.0,0.0,0.18410000000000004,0.030567755102040732,6768.0,10000.000000000004,1761.84120992205,1001,1759.5408491990177,11,0,4.7053611271365865,0.4664858197201711,10.342789598108746,0.10342789598108745,44.410004081631854,4.522492365010592,6768,6768.0,966.8571428571428,30.93376254153807,0.1194548866524228
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,10,False,None,-2,0.0,0.0,0.17959999999999998,0.02984960000000001,9673.0,10000.000000000002,1761.47795898785,1001,1758.4504542352054,11,0,4.706832803226687,0.5575196857510952,10.33805437816603,0.10338054378166028,31.082819999999327,4.522128538970637,9673,9672.0,967.3,30.947105404073497,0.09994312863624108
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,13,False,None,-2,0.0,0.0,0.17920000000000003,0.029745562130177546,10000.0,10000.000000000013,1761.64973447682,1006,1759.2168712242387,11,0,4.706307875591262,0.6357191990179312,10.337972166998014,0.1033797216699801,23.913544378698013,4.522464072934222,12575,8414.0,967.3076923076925,30.93337286114004,0.08765592244504924
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,False,None,-2,0.0,0.0,0.17969999999999997,0.029787187499999996,10000.0,10000.000000000013,1761.4517982334914,1006,1758.2775662562494,11,0,4.707248210131679,0.7052227733135112,10.341930062697948,0.1034193006269795,19.427310937500245,4.522606088500025,15471,8395.0,966.9375,30.92434335340622,0.07901198074342992
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,None,-2,0.0,0.0,0.17700000000000005,0.02942569999999997,10000.0,10000.000000000011,1761.6095367589267,1007,1759.2157343543743,11,0,4.70645336160296,0.7884954533794092,10.339123242349046,0.10339123242349049,15.543126999999751,4.522513448284478,19344,8460.0,967.2,30.9308713796039,0.0706704639916855
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,1,-2,0.8,0.08592792158858802,0.8016,0.08582337058305214,2.0,10000.0,7506.733510655617,2,7506.733510655617,2,2,0.6282188093244804,0.7506733510655617,5000.0,50.0,5635.104800000087,8.582121562652198,2,2.0,1.9999999999999993,1.4142135623730945,0.11600284553409605
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,2,-2,0.6628000000000001,0.07766587465692601,0.6637,0.07844457584424133,4.0,10000.0,5343.591863157215,4,5343.591863157215,4,4,1.3156017864888971,0.5343591863157215,2500.0,25.0,2855.397400000255,7.894738585487479,4,4.0,3.9999999999999996,1.9999999999999998,0.14405990766610874
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,3,-2,0.5202,0.06692904194061242,0.5186,0.06745698167865428,8.0,10000.0,4038.2548210829887,8,4038.2548210829887,8,8,1.9248957630511798,0.4038254821082989,1250.0,12.5,1630.7502000000186,7.285444608924763,8,8.0,7.999999999999998,2.82842712474619,0.17546520651886932
