model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_parameters,depth,width,total_epochs,weights_L2,mean_affine_mat_norm,kernel_trace,head_norm,OLS_norm
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,40,0.01,32,0,None,True,True,0.487,0.05102425904759924,0.5282,0.4783439117989631,14.0,144.31250000000003,71.29255856153573,25,2123.0487512066225,5,25,1.470158280641866,0.2833861102806558,144.3125,3.278123510485839,1.2548076171875013,3.3376874253112625,12730,1,16,50,7.736073,2.3351705,1.536982,45.76061,0.9396587180088101
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,50,0.01,32,0,None,True,True,0.48575,0.05094855088506446,0.5261,0.4786267213724649,14.0,148.43750000000003,71.86383065388318,25,2087.536346988957,5,24,1.512699453220278,0.2854363983447101,148.4375,3.357012250498946,1.2730302734375147,3.3886108642412833,12730,1,16,100,7.7446394,2.3647027,1.537874,45.173424,0.9429358045767957
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,100,0.01,32,0,None,True,True,0.45199999999999996,0.049620320197897194,0.5002,0.483771695065408,14.0,175.875,81.04613847988071,27,1892.728718015342,5,27,1.59044437630167,0.31646919281345537,175.875,3.895109112720721,1.5648867187500324,3.7465973227327924,12730,1,16,200,7.757754,2.7957704,1.5412152,39.353474,0.9466173762982419
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,300,0.01,32,0,None,True,True,0.40974999999999995,0.04417067761914885,0.4589,0.5153665847858053,14.0,183.625,85.80888102346984,25,1822.2063549444667,5,22,1.5716631266416625,0.3317088331654736,183.625,3.9823830805184977,1.7192304687499917,3.9167933403569175,12730,1,16,500,7.8407373,3.5715044,1.5673797,42.461388,0.9952387176842251
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,500,0.01,32,0,None,True,True,0.40700000000000003,0.04368366901965135,0.45809999999999995,0.5287568264094056,14.0,180.93749999999997,84.10626184327775,25,1833.091377973286,5,22,1.5767763138278734,0.3263465374414137,180.9375,3.926572137373768,1.6640947265624868,3.8909761363152824,12730,1,16,1000,7.9520373,3.300432,1.5846994,39.91392,1.02964376547461
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,1000,0.01,32,0,None,True,True,0.40525,0.04338717057318132,0.46030000000000004,0.5451255302950484,14.0,177.875,82.3913583909138,24,1852.9193182650993,5,22,1.580120830501249,0.32051209025557836,177.875,3.877015604817706,1.6051249999999704,3.8413042560825903,12730,1,16,2000,8.16044,3.050953,1.6076138,40.446922,1.0883288359491012
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,1000,0.01,32,0,None,True,True,0.40525,0.04323919696553407,0.4625,0.5583619308637153,14.0,175.62499999999997,81.15455932971356,23,1866.238462790862,5,21,1.5823416857177834,0.3164486530228877,175.625,3.8334465562989135,1.5646835937499994,3.808383261283071,12730,1,16,3000,8.354561,2.908298,1.6251848,39.441875,1.1388906073391192
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,3000,0.01,32,0,None,True,True,0.404,0.04294076025976233,0.4678,0.5900069861376128,14.0,173.875,80.03685674425252,22,1874.7357147075425,5,22,1.5859865130533235,0.3130349421390526,173.875,3.792467864069516,1.531107421874996,3.7855533942928297,12730,1,16,6000,8.89212,2.6664376,1.6659088,39.499416,1.2885022490290718
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,0,0.01,32,0,None,True,True,0.42400000000000004,0.1160830581093675,0.4911,0.7550562352994863,23.0,863.7500000000002,543.9504770912312,837,345.96531618068303,13,0,1.5755652688290764,1.7400658392716064,863.75,14.121865433905443,21.02659114583332,8.22803117740297,19090,1,24,0,9.72272,6.6981373,1.8214781,102.254005,1.4299070024118332
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,10,0.01,32,0,None,True,True,0.26,0.03870425627060889,0.35129999999999995,0.6466212493509853,19.0,220.625,100.365192547018,72,1088.5669478722932,7,3,1.7679578474791333,0.5456738380204791,220.62499999999997,4.230141513261964,2.067777343749983,5.885748359534053,19090,1,24,10,9.745761,2.0382094,1.8146299,157.54431,1.286888263027781
