model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,shuffle_label_frac,n_neighbors,weights,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy
knn,0,100,8192,0,1.0,True,None,35,uniform,-2,0.36,0.2251428571428572,0.339599609375,0.2235176179846916,100.0,100.00000000000001,50.22712495885717,95,10.488088481701515,3,0,2.0061208539432567,3.826199158433863,35.00000000000001,3.5000000000000004,1.1950857142857148,4.3376977794080105
knn,0,100,8192,0,1.0,True,None,35,distance,-2,0.0,0.0,0.3201904296875,0.21107698607303677,100.0,100.00000000000001,50.22712495885717,95,10.488088481701515,3,0,2.0061208539432567,3.826199158433863,35.00000000000001,3.5000000000000004,1.1950857142857148,4.3376977794080105
knn,0,100,8192,0,1.0,True,None,37,uniform,-2,0.32999999999999996,0.2257268078889701,0.3355712890625,0.2259618676953987,100.0,100.00000000000003,51.9445819209501,95,10.583005244258363,3,0,1.9466882868952273,4.049172755020463,36.99999999999999,3.7000000000000006,1.1976479181884587,4.381020827070574
knn,0,100,8192,0,1.0,True,None,37,distance,-2,0.0,0.0,0.3233642578125,0.21229382121838475,100.0,100.00000000000003,51.9445819209501,95,10.583005244258363,3,0,1.9466882868952273,4.049172755020463,36.99999999999999,3.7000000000000006,1.1976479181884587,4.381020827070574
knn,0,100,8192,0,1.0,True,None,39,uniform,-2,0.33999999999999997,0.2289809335963181,0.3460693359375,0.2285969249517095,100.0,99.99999999999999,53.98312249947105,91,11.045361017187261,3,0,1.8692822263158155,4.290827426033352,39.00000000000001,3.9,1.2104667981591053,4.426000427133449
knn,0,100,8192,0,1.0,True,None,39,distance,-2,0.0,0.0,0.3212890625,0.21355543900501195,100.0,99.99999999999999,53.98312249947105,91,11.045361017187261,3,0,1.8692822263158155,4.290827426033352,39.00000000000001,3.9,1.2104667981591053,4.426000427133449
knn,0,100,8192,0,1.0,True,None,41,uniform,-2,0.33999999999999997,0.23054729327781068,0.3392333984375,0.23084360244089705,100.0,100.00000000000001,55.866874568061974,92,10.954451150103322,3,0,1.7966862794045657,4.518561718069146,40.99999999999999,4.099999999999999,1.214598453301606,4.457481961669801
knn,0,100,8192,0,1.0,True,None,41,distance,-2,0.0,0.0,0.3233642578125,0.21473507017757404,100.0,100.00000000000001,55.866874568061974,92,10.954451150103322,3,0,1.7966862794045657,4.518561718069146,40.99999999999999,4.099999999999999,1.214598453301606,4.457481961669801
knn,0,100,8192,0,1.0,True,None,43,uniform,-2,0.31999999999999995,0.23182260681449435,0.36083984375,0.23334813053510312,100.0,100.0,57.62451892362326,89,11.135528725660043,3,0,1.7372720482382369,4.744069982620408,43.0,4.3,1.2172093023255814,4.487588920599751
knn,0,100,8192,0,1.0,True,None,43,distance,-2,0.0,0.0,0.3187255859375,0.21597143471213237,100.0,100.0,57.62451892362326,89,11.135528725660043,3,0,1.7372720482382369,4.744069982620408,43.0,4.3,1.2172093023255814,4.487588920599751
knn,0,100,8192,0,1.0,True,None,45,uniform,-2,0.31999999999999995,0.23645432098765418,0.3614501953125,0.23560830198689425,100.0,100.00000000000001,59.47905534464514,88,11.224972160321824,3,0,1.6763490173654354,4.972444067055958,45.00000000000002,4.500000000000001,1.220997530864198,4.512798916649725
knn,0,100,8192,0,1.0,True,None,45,distance,-2,0.0,0.0,0.3199462890625,0.21709045556089848,100.0,100.00000000000001,59.47905534464514,88,11.224972160321824,3,0,1.6763490173654354,4.972444067055958,45.00000000000002,4.500000000000001,1.220997530864198,4.512798916649725
knn,0,100,8192,0,1.0,True,None,47,uniform,-2,0.32999999999999996,0.23597555454956998,0.367919921875,0.23722594137265593,100.0,100.0,61.31565687636538,90,11.135528725660043,3,0,1.6147792999675639,5.1939772814289435,46.99999999999998,4.699999999999999,1.2212494341330922,4.530612924666503
knn,0,100,8192,0,1.0,True,None,47,distance,-2,0.0,0.0,0.3170166015625,0.217943115758025,100.0,100.0,61.31565687636538,90,11.135528725660043,3,0,1.6147792999675639,5.1939772814289435,46.99999999999998,4.699999999999999,1.2212494341330922,4.530612924666503
knn,0,100,8192,0,1.0,True,None,49,uniform,-2,0.37,0.2368763015410245,0.366943359375,0.23874517819720462,100.0,100.0,62.94125038147485,91,10.954451150103322,3,0,1.561458503678589,5.4002962881679,49.00000000000002,4.8999999999999995,1.2146272386505617,4.543486442328399
knn,0,100,8192,0,1.0,True,None,49,distance,-2,0.0,0.0,0.3170166015625,0.21880342716443446,100.0,100.0,62.94125038147485,91,10.954451150103322,3,0,1.561458503678589,5.4002962881679,49.00000000000002,4.8999999999999995,1.2146272386505617,4.543486442328399
knn,0,100,8192,0,1.0,True,None,51,uniform,-2,0.37,0.2407304882737409,0.388671875,0.24113603391723332,100.0,100.0,64.57304248852246,92,10.862780491200215,3,0,1.5089085526948902,5.604962087293722,50.99999999999998,5.1000000000000005,1.2078277585544017,4.55416861793363
knn,0,100,8192,0,1.0,True,None,51,distance,-2,0.0,0.0,0.3201904296875,0.22001163616007408,100.0,100.0,64.57304248852246,92,10.862780491200215,3,0,1.5089085526948902,5.604962087293722,50.99999999999998,5.1000000000000005,1.2078277585544017,4.55416861793363
knn,0,100,8192,0,1.0,True,None,53,uniform,-2,0.4,0.24331434674261287,0.41357421875,0.24282097061065872,100.0,100.00000000000001,66.15724496134764,95,10.583005244258363,3,0,1.4605230653106955,5.804670533286105,53.00000000000002,5.299999999999999,1.1995087219651113,4.562936917494916
knn,0,100,8192,0,1.0,True,None,53,distance,-2,0.0,0.0,0.3184814453125,0.22091704471703405,100.0,100.00000000000001,66.15724496134764,95,10.583005244258363,3,0,1.4605230653106955,5.804670533286105,53.00000000000002,5.299999999999999,1.1995087219651113,4.562936917494916
knn,0,100,8192,0,1.0,True,None,55,uniform,-2,0.43000000000000005,0.24559669421487595,0.420654296875,0.24417306947312464,100.0,99.99999999999999,67.7684097155297,93,10.677078252031311,3,0,1.4068005996241801,6.0027493700803465,54.99999999999998,5.5,1.1911735537190082,4.569834893596704
knn,0,100,8192,0,1.0,True,None,55,distance,-2,0.0,0.0,0.314697265625,0.22163899422347672,100.0,99.99999999999999,67.7684097155297,93,10.677078252031311,3,0,1.4068005996241801,6.0027493700803465,54.99999999999998,5.5,1.1911735537190082,4.569834893596704
