model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_unexpanded_mat_norm,mean_affine_mat_norm
forest,0,1024,8192,0,1.0,True,None,3,False,None,-2,0.0,0.0,0.34033203125,0.322943793402777,798.0,1024.0000000000005,122.11197047518861,300,121.38368918433811,1,0,4.9651907618272,0.20753274314560355,3.8496240601503757,0.12030075187969926,4.900390625000012,2.0520556986837897,798,798.0,266.0,16.03552598271289,0.7071067811865475,0.408248290463863
forest,0,1024,8192,0,1.0,True,None,4,False,None,-2,0.0,0.0,0.34130859375,0.32376861572265625,1024.0,1024.0000000000007,122.18786764650571,300,121.39192724394815,1,0,4.961398921607785,0.23962623101576402,3.860508953817153,0.12064090480678608,3.6749267578125,2.049084042682373,1061,1023.0,265.25000000000006,16.029704060263104,0.7071067811865475,0.35355339059327373
forest,0,1024,8192,0,1.0,True,None,5,False,None,-2,0.0,0.0,0.34130859375,0.32368164062499927,1024.0,1024.0000000000005,122.08619905624057,301,121.36721138759019,1,0,4.9651352425070705,0.2679378569564773,3.8670694864048354,0.12084592145015105,2.9405468750000026,2.055372573191694,1324,1024.0,264.8,15.98167238234948,0.7071067811865475,0.316227766016838
forest,0,1024,8192,0,1.0,True,None,7,False,None,-2,0.0,0.0,0.3419189453125,0.3224026426977055,1024.0,1024.0000000000007,122.09547953322834,301,121.309521472966,1,0,4.964716335142798,0.31705361533204,3.8704103671706274,0.1209503239740821,2.100725446428567,2.05614730844713,1852,1024.0,264.5714285714285,15.964328394640466,0.7071067811865475,0.2672612419124244
forest,0,1024,8192,0,1.0,True,None,10,False,None,-2,0.0,0.0,0.3367919921875,0.3201745605468744,1024.0,1024.0000000000005,122.03114356589468,304,121.18580774991764,1,0,4.969300467318988,0.37893645176026053,3.8670694864048354,0.12084592145015105,1.4703906250000018,2.0597220301347896,2648,1024.0,264.8,15.954490475917865,0.7071067811865475,0.223606797749979
forest,0,1024,8192,0,1.0,True,None,13,False,None,-2,0.0,0.0,0.336669921875,0.31846555450258907,1024.0,1024.0000000000005,122.02056282233454,303,121.28478882366082,1,0,4.970157022608771,0.43202930746624774,3.86078886310905,0.12064965197215778,1.1309402736686496,2.0592067852946636,3448,1023.0,265.2307692307692,15.95295716426688,0.7071067811865475,0.19611613513818404
forest,0,1024,8192,0,1.0,True,None,16,False,None,-2,0.0,0.0,0.343017578125,0.3192005157470703,1024.0,1024.0000000000007,122.02068216085337,305,121.17755567760888,1,0,4.9718134411308,0.47930817656806146,3.860508953817153,0.12064090480678608,0.9189453125,2.0609934266942984,4244,1023.0,265.24999999999994,15.942506984096553,0.7071067811865475,0.17677669529663687
forest,0,1024,8192,0,1.0,True,None,20,False,None,-2,0.0,0.0,0.3375244140625,0.3182321166992169,1024.0,1024.0000000000005,121.99258174167805,305,121.17755567760888,1,0,4.9723657724933625,0.5358757139129546,3.864150943396226,0.12075471698113208,0.735136718750001,2.0617690718424124,5300,1024.0,265.0,15.934518619247232,0.7071067811865475,0.158113883008419
forest,1,1024,8192,0,1.0,True,None,1,False,1,-2,0.474609375,0.24896666422090488,0.5084228515625,0.25170353888390423,2.0,1024.0,849.3997880856812,2,849.3997880856812,2,2,0.4910575917265567,0.829491980552423,512.0,16.0,704.5703125,6.440414213872968,2,2.0,2.0,1.4142135623730951,0.5010322701973382,0.5010322701973382
forest,1,1024,8192,0,1.0,True,None,1,False,2,-2,0.3818359375,0.22779274235426886,0.3804931640625,0.2277766751893474,4.0,1024.0,617.5289466899508,4,617.5289466899508,4,4,1.15884943342206,0.603055612001905,256.0,8.0,372.404296875,5.772622372177428,4,4.0,4.0,1.9999999999999998,0.5217348537770234,0.5217348537770234
