model,rep,n_train_samples,n_test_samples,dims,onehot,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,1,1000,8192,100,True,None,4,sqrt,False,2,-2,0.125,0.138,0.1477,0.1478,16.0,1000.0,390.94165165661235,131,141.9366055674152,2.1920097751700545,16
shallow_forest,1,1000,8192,100,True,None,4,sqrt,False,5,-2,0.033,0.06,0.1327,0.1156,123.0,1000.0000000000001,213.1554597001916,741,61.05735008989499,3.8060576830735977,123
shallow_forest,1,1000,8192,100,True,None,4,sqrt,False,15,-2,0.0,0.0,0.1586,0.1123,444.0,1000.0000000000001,164.0221021691894,925,34.84250278036869,4.60013802573857,444
shallow_forest,1,1000,8192,100,True,None,4,sqrt,False,40,-2,0.0,0.0,0.1381,0.0984,414.0,1000.0000000000001,199.71855196751255,786,62.48199740725323,4.396217310259163,414
shallow_forest,1,1000,8192,100,True,None,4,sqrt,False,None,-2,0.0,0.0,0.1396,0.101,427.0,1000.0,160.91884600630218,889,36.41428291206625,4.598196317612245,427
shallow_forest,1,1000,8192,100,True,None,5,sqrt,False,2,-2,0.145,0.137,0.1676,0.1471,20.0,1000.0000000000001,391.22842432522714,275,128.9728653632228,2.2871107557551547,20
shallow_forest,1,1000,8192,100,True,None,5,sqrt,False,5,-2,0.02,0.045,0.0966,0.0921,142.0,1000.0,214.89848766336164,838,40.54626986542659,3.8628116459261554,142
shallow_forest,1,1000,8192,100,True,None,5,sqrt,False,15,-2,0.0,0.0,0.1084,0.0951,541.0,1000.0000000000002,158.45504094221803,954,33.49626844888845,4.7211702606790835,541
shallow_forest,1,1000,8192,100,True,None,5,sqrt,False,40,-2,0.0,0.0,0.1196,0.1002,555.0,1000.0000000000003,145.80178325384094,964,33.166247903554,4.816075957485793,555
shallow_forest,1,1000,8192,100,True,None,5,sqrt,False,None,-2,0.0,0.0,0.111,0.0982,541.0,999.9999999999999,165.31376228251534,924,35.41186241925155,4.668083594343536,541
shallow_forest,1,1000,8192,100,True,None,7,sqrt,False,2,-2,0.095,0.151,0.1177,0.1617,28.0,1000.0,394.01279374235185,601,62.5939294181153,2.4447128683700723,28
shallow_forest,1,1000,8192,100,True,None,7,sqrt,False,5,-2,0.024,0.043,0.0887,0.087,198.0,999.9999999999999,223.98934012536375,928,36.76955262170047,3.9717856732527643,198
shallow_forest,1,1000,8192,100,True,None,7,sqrt,False,15,-2,0.0,0.0,0.0945,0.0905,788.0,1000.0000000000001,156.001962311049,995,31.811947441173732,4.970970056214033,788
shallow_forest,1,1000,8192,100,True,None,7,sqrt,False,40,-2,0.0,0.0,0.0864,0.0837,716.0,1000.0,180.55424873066232,979,32.58834147360065,4.735656379872635,716
shallow_forest,1,1000,8192,100,True,None,7,sqrt,False,None,-2,0.0,0.0,0.0897,0.0876,773.0,1000.0000000000003,138.37983809730645,996,31.74901573277509,5.05566346551774,773
shallow_forest,1,1000,8192,100,True,None,10,sqrt,False,2,-2,0.087,0.117,0.1083,0.1275,40.0,1000.0000000000001,379.37187560492674,739,48.02082881417188,2.5528920951751157,40
shallow_forest,1,1000,8192,100,True,None,10,sqrt,False,5,-2,0.01,0.047,0.0721,0.0958,293.0,1000.0000000000001,192.83236242913165,998,31.68595903550972,4.341457381024626,293
shallow_forest,1,1000,8192,100,True,None,10,sqrt,False,15,-2,0.0,0.0,0.0763,0.0738,1000.0,1000.0000000000001,166.7218641930326,1000,31.622776601683793,4.983188484838288,1012
shallow_forest,1,1000,8192,100,True,None,10,sqrt,False,40,-2,0.0,0.0,0.0791,0.0776,1000.0,1000.0000000000001,150.96582394701124,998,31.68595903550972,5.092606980380534,1058
shallow_forest,1,1000,8192,100,True,None,10,sqrt,False,None,-2,0.0,0.0,0.0757,0.0793,1000.0,1000.0000000000002,138.54212355814383,1000,31.622776601683793,5.220115951169198,1087
shallow_forest,1,1000,8192,100,True,None,13,sqrt,False,2,-2,0.071,0.137,0.1007,0.1507,52.0,1000.0000000000002,383.6534894927974,841,39.395431207184416,2.6477345223237467,52
shallow_forest,1,1000,8192,100,True,None,13,sqrt,False,5,-2,0.006,0.048,0.0698,0.0956,383.0,1000.0000000000001,175.6868179123456,1000,31.622776601683793,4.605345475975383,383
shallow_forest,1,1000,8192,100,True,None,13,sqrt,False,15,-2,0.0,0.0,0.0699,0.0755,1000.0,1000.0000000000002,139.55788177979738,1000,31.622776601683793,5.328410787353663,1430
shallow_forest,1,1000,8192,100,True,None,13,sqrt,False,40,-2,0.0,0.0,0.0632,0.0761,1000.0,1000.0,142.2581202640647,1000,31.622776601683793,5.27597553242337,1404
shallow_forest,1,1000,8192,100,True,None,13,sqrt,False,None,-2,0.0,0.0,0.0627,0.0734,1000.0,1000.0000000000001,152.55612993605038,999,31.654383582688826,5.2153583302734265,1390
shallow_forest,1,1000,8192,100,True,None,16,sqrt,False,2,-2,0.066,0.149,0.0986,0.1622,64.0,1000.0000000000001,348.7831301468005,986,32.09361307176243,2.906593903837728,64
shallow_forest,1,1000,8192,100,True,None,16,sqrt,False,5,-2,0.007,0.042,0.0643,0.0884,460.0,1000.0,198.23557639838518,1000,31.622776601683793,4.539807490018971,460
shallow_forest,1,1000,8192,100,True,None,16,sqrt,False,15,-2,0.0,0.0,0.059,0.0713,1000.0,1000.0000000000002,142.0369670191532,1000,31.622776601683793,5.341556645488872,1682
shallow_forest,1,1000,8192,100,True,None,16,sqrt,False,40,-2,0.0,0.0,0.0585,0.0728,1000.0,1000.0000000000001,134.84476028010877,1000,31.622776601683793,5.438433368540106,1730
shallow_forest,1,1000,8192,100,True,None,16,sqrt,False,None,-2,0.0,0.0,0.0581,0.0703,1000.0,1000.0000000000001,151.31860530846828,1000,31.622776601683793,5.2776759195800915,1671
shallow_forest,1,1000,8192,100,True,None,20,sqrt,False,2,-2,0.064,0.148,0.1035,0.1605,80.0,1000.0000000000003,346.9825571984852,993,31.843366656181317,3.0028002942600067,80
shallow_forest,1,1000,8192,100,True,None,20,sqrt,False,5,-2,0.008,0.046,0.0636,0.0922,567.0,1000.0000000000001,182.7846000077687,1000,31.622776601683793,4.710731394781869,567
shallow_forest,1,1000,8192,100,True,None,20,sqrt,False,15,-2,0.0,0.0,0.0562,0.0711,1000.0,999.9999999999998,132.40173714872472,1000,31.622776601683793,5.500574805669871,2135
shallow_forest,1,1000,8192,100,True,None,20,sqrt,False,40,-2,0.0,0.0,0.0596,0.0733,1000.0,1000.0000000000002,128.90717590576563,1000,31.622776601683793,5.528697605540202,2162
shallow_forest,1,1000,8192,100,True,None,20,sqrt,False,None,-2,0.0,0.0,0.058,0.0699,1000.0,1000.0,149.88979284794544,1000,31.622776601683793,5.396041009550635,2103
shallow_forest,2,1000,8192,100,True,None,1,sqrt,False,2,-2,0.26,0.185,0.2982,0.2085,4.0,1000.0,520.7590613709953,4,520.7590613709953,1.3436475433529862,4
shallow_forest,2,1000,8192,100,True,None,1,sqrt,False,5,-2,0.15,0.113,0.2734,0.204,29.0,1000.0,311.8653555623003,29,311.8653555623003,2.6450781440117286,29
