model,rep,n_train_samples,n_test_samples,save_path,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,entropy,rows_mean_L2,cols_mean_L1,cols_mean_L2,n_parameters,depth,width
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,256,6000,0.01,32,0,0,True,True,0.0,0.0005203632468353393,0.06279999999999997,0.4528646482970631,180405.0,56222.860359465885,4000,63.245553203367585,255,0,1471205.4049686417,3.551416293185016,704.70703125,11.608513411206625,203530,1,256
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,512,6000,0.01,32,0,0,True,True,0.0,0.00011844769745483694,0.05630000000000002,0.2761765068184482,670575.0000000002,322528.2106157539,4000,63.245553203367585,512,0,6714184.131050327,8.911595665900691,1309.716796875,20.832389881388213,407050,1,512
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,1024,6000,0.01,32,0,0,True,True,0.0,2.2764433627347213e-05,0.05259999999999998,0.16855920791137866,1537687.0,796081.9809736932,4000,63.245553203367585,1024,0,16712792.269701127,14.048186944851638,1501.6474609375,23.793064526202475,814090,1,1024
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,4,6000,0.01,32,0,0,True,True,0.6885,0.07043996200022826,0.7017,0.22941147754091218,1100.0,785.1331097336298,4,3020.163240621275,2,4,6951.337642940023,0.19606790915394595,275.0,8.48528137423857,3190,1,4
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,8,6000,0.01,32,0,0,True,True,0.5805,0.060283772209583544,0.6172,0.26337605243937573,1715.0,1003.5910521721485,10,2547.2180903880217,4,10,10895.218822238736,0.24941218394456996,214.375,5.498579361980693,6370,1,8
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,16,6000,0.01,32,0,0,True,True,0.38449999999999995,0.04059673481703009,0.4609,0.39853833053573384,2786.0,1265.2501728907212,24,1822.6738600199433,7,24,17636.14668873849,0.3126255747695636,174.125,3.6869703009381563,12730,1,16
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,32,6000,0.01,32,0,0,True,True,0.016000000000000014,0.00743845249211275,0.17410000000000003,0.8347160009314931,9967.0,5510.247635088644,210,895.534477281584,16,210,74446.55967364693,1.0983507807162518,311.46875,5.36381466985018,25450,1,32
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,38,6000,0.01,32,0,0,True,True,0.011499999999999955,0.0048717351966952645,0.1895,1.2889621492864582,13242.000000000004,8438.014458390076,356,815.7757044678397,22,356,105004.26969153472,1.3606254076710458,348.47368421052624,5.952373301670323,30220,1,38
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,40,6000,0.01,32,0,0,True,True,0.010249999999999981,0.003929036004417775,0.2026,1.727600064607562,13285.999999999998,8425.571671999473,393,812.7668792464417,24,393,104882.63963499603,1.3577551325625692,332.15,5.688585061331158,31810,1,40
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,42,6000,0.01,32,0,0,True,True,0.009750000000000036,0.003607183740010474,0.2127,2.0492108857483013,13262.0,8393.27993099241,414,817.0667047432541,26,414,104394.57395254387,1.354941788417495,315.7619047619047,5.416758240984162,33400,1,42
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,44,6000,0.01,32,0,0,True,True,0.009750000000000036,0.003381627731347336,0.22019999999999995,2.0914880403025955,13237.000000000004,8372.541609332258,426,816.7484312810157,28,426,104068.41715259018,1.3533022343512184,300.840909090909,5.1631942032200655,34990,1,44
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,46,6000,0.01,32,0,0,True,True,0.009499999999999953,0.0032039443142323743,0.22709999999999997,2.188615473384713,13229.999999999998,8338.979433959526,435,811.493684510237,30,435,103771.51189862698,1.3507770448893481,287.6086956521739,4.936171036244066,36580,1,46
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,48,6000,0.01,32,0,0,True,True,0.009499999999999953,0.003067630187806422,0.23219999999999996,2.098018351402579,13212.000000000002,8321.118073912905,448,815.7095071163508,32,448,103474.08203822174,1.3495361703192694,275.25,4.727284867894278,38170,1,48
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,50,6000,0.01,32,0,0,True,True,0.009499999999999953,0.0029457598069158987,0.236,2.0006993859990674,13242.00000000001,8302.507813907796,472,811.8374221480555,34,472,103394.44501669321,1.347944360869543,264.84000000000003,4.5551728836565575,39760,1,50
