model,rep,n_train_samples,n_test_samples,recurse_level,angle_params,cov_scale,onehot,noise_dims,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,2,1000,8192,0,45,1,True,0,None,7,1,False,2,-2,0.304,0.201,0.319,0.206,28.0,1000.0000000000001,585.6683605688706,23,374.67319092777376,1.4917727609921256,28
shallow_forest,2,1000,8192,0,45,1,True,0,None,7,1,False,5,-2,0.231,0.157,0.2887,0.1862,190.0,1000.0,269.9668913940737,235,133.23663159957175,3.3057830253721856,190
shallow_forest,2,1000,8192,0,45,1,True,0,None,7,1,False,15,-2,0.003,0.018,0.3298,0.2388,1000.0,1000.0000000000005,79.0071037880746,769,43.977266854592045,5.7396629093499545,1835
shallow_forest,2,1000,8192,0,45,1,True,0,None,7,1,False,40,-2,0.0,0.0,0.3501,0.2612,1000.0,1000.0000000000002,73.41495148837747,726,48.49742261192856,5.85874403478885,2289
shallow_forest,2,1000,8192,0,45,1,True,0,None,10,1,False,2,-2,0.304,0.2,0.319,0.2052,40.0,1000.0000000000007,574.7708760888986,23,374.67319092777376,1.5315932765829932,40
shallow_forest,2,1000,8192,0,45,1,True,0,None,10,1,False,5,-2,0.233,0.155,0.2931,0.187,272.0,1000.0000000000002,271.5689967577301,263,138.8236291126262,3.324257422046927,272
shallow_forest,2,1000,8192,0,45,1,True,0,None,10,1,False,15,-2,0.005,0.015,0.3365,0.2368,1000.0,1000.0000000000002,81.29809345857996,809,41.83300132670378,5.771215935862674,2639
shallow_forest,2,1000,8192,0,45,1,True,0,None,10,1,False,40,-2,0.0,0.0,0.3414,0.252,1000.0,1000.0000000000001,70.15311824858537,830,39.52214569073901,5.968104045615203,3241
shallow_forest,2,1000,8192,0,45,1,True,0,None,13,1,False,2,-2,0.326,0.206,0.3306,0.2107,52.0,1000.0000000000007,605.1068564248033,19,385.3050739349276,1.4021092018812054,52
shallow_forest,2,1000,8192,0,45,1,True,0,None,13,1,False,5,-2,0.234,0.157,0.2908,0.186,355.0,1000.0000000000003,283.7525590948906,242,161.32575739788115,3.2523326188840986,355
shallow_forest,2,1000,8192,0,45,1,True,0,None,13,1,False,15,-2,0.008,0.019,0.3334,0.2363,1000.0,1000.0000000000002,84.80621837198149,816,40.52159917870962,5.73047849182923,3367
shallow_forest,2,1000,8192,0,45,1,True,0,None,13,1,False,40,-2,0.0,0.0,0.3376,0.2493,1000.0,1000.0,70.36321658736695,828,40.32369030731191,5.97734649456387,4253
shallow_forest,2,1000,8192,0,45,1,True,0,None,16,1,False,2,-2,0.295,0.208,0.3119,0.2117,64.0,1000.0000000000006,595.313461285313,23,374.67319092777376,1.4733157297496073,64
shallow_forest,2,1000,8192,0,45,1,True,0,None,16,1,False,5,-2,0.24,0.155,0.287,0.1856,441.0,1000.0000000000003,275.1143370264444,286,128.9418473576364,3.322351688980221,441
shallow_forest,2,1000,8192,0,45,1,True,0,None,16,1,False,15,-2,0.004,0.015,0.3345,0.2306,1000.0,1000.0000000000002,77.79038340309168,864,37.76241517699841,5.839994492536077,4138
shallow_forest,2,1000,8192,0,45,1,True,0,None,16,1,False,40,-2,0.0,0.0,0.3412,0.2494,1000.0,1000.0000000000002,68.98822363273314,857,37.416573867739416,5.989644674039491,5216
shallow_forest,2,1000,8192,0,45,1,True,0,None,20,1,False,2,-2,0.301,0.199,0.3123,0.2041,80.0,1000.0000000000015,566.2863012646519,23,374.67319092777376,1.558208894009366,80
shallow_forest,2,1000,8192,0,45,1,True,0,None,20,1,False,5,-2,0.217,0.154,0.2819,0.1865,552.0,1000.0000000000002,270.97909513466163,353,105.48933595392475,3.422515642663665,552
shallow_forest,2,1000,8192,0,45,1,True,0,None,20,1,False,15,-2,0.004,0.016,0.3376,0.234,1000.0,1000.0000000000001,79.68989898349729,856,38.34057902536163,5.81592163782012,5197
shallow_forest,2,1000,8192,0,45,1,True,0,None,20,1,False,40,-2,0.0,0.0,0.3409,0.2477,1000.0,1000.0000000000001,69.16267056729374,862,38.47076812334269,6.0060218080653165,6625
