model,rep,n_train_samples,n_estimators,max_features,splitter,bootstrap,max_depth,n_jobs,train_01_error,test_01_error,irm_l2,activated_regions,regions_l2,n_total_leaves
forest,1,4096,1,1,random,False,4,-1,0.491455078125,0.5015000000000001,2103.2669825773432,9,2103.2669825773432,9
forest,1,4096,1,1,random,False,6,-1,0.4072265625,0.41190000000000004,2600.423811612254,22,2600.423811612254,22
forest,1,4096,1,1,random,False,8,-1,0.293212890625,0.28969999999999996,1322.018910606047,82,1322.018910606047,82
forest,1,4096,1,1,random,False,10,-1,0.30419921875,0.3274,713.7674691382341,246,713.7674691382341,246
forest,1,4096,1,1,random,False,15,-1,0.263671875,0.3254,720.648319223739,555,720.648319223739,555
forest,1,4096,1,1,random,False,20,-1,0.06787109375,0.34199999999999997,177.14965424747524,2010,177.14965424747524,2010
forest,1,4096,1,1,random,False,None,-1,0.0,0.3478,127.02755606560335,2481,127.02755606560335,2481
forest,1,4096,2,1,random,False,2,-1,0.413330078125,0.41690000000000005,2419.477216259742,9,2022.2907802786394,8
forest,1,4096,2,1,random,False,3,-1,0.490966796875,0.4878,2831.1467641222794,15,2450.4203720994547,15
forest,1,4096,2,1,random,False,4,-1,0.350830078125,0.3447,1893.1130446964883,39,1355.88273829266,27
forest,1,4096,2,1,random,False,6,-1,0.354248046875,0.35309999999999997,1407.831843651789,140,888.7069258197554,77
forest,1,4096,2,1,random,False,8,-1,0.327880859375,0.3358,1392.32287922019,180,1164.2963540267574,132
forest,1,4096,2,1,random,False,10,-1,0.2626953125,0.2992,687.3463464658846,665,400.8366250731088,437
forest,1,4096,2,1,random,False,15,-1,0.1435546875,0.30800000000000005,370.51450713838443,2065,159.4490514239581,1716
forest,1,4096,2,1,random,False,20,-1,0.010009765625,0.3395,117.01922918905251,3365,81.53526844255805,4342
forest,1,4096,2,1,random,False,None,-1,0.0,0.34630000000000005,101.41991914806476,3460,80.17480901130976,5079
forest,1,4096,3,1,random,False,2,-1,0.50439453125,0.5109,3216.892323691025,12,3024.6497317871335,12
forest,1,4096,3,1,random,False,3,-1,0.430419921875,0.4256,3059.4426507671606,40,2800.33783676184,24
forest,1,4096,3,1,random,False,4,-1,0.298828125,0.30289999999999995,2170.613891659838,112,1292.3792013182515,45
forest,1,4096,3,1,random,False,6,-1,0.320068359375,0.3308,1209.4475322779947,305,552.4726237561458,121
forest,1,4096,3,1,random,False,8,-1,0.272705078125,0.28490000000000004,823.8093091108988,694,344.08429199834166,342
forest,1,4096,3,1,random,False,10,-1,0.248291015625,0.29510000000000003,649.5877325059503,991,244.74476501040834,588
forest,1,4096,3,1,random,False,15,-1,0.136962890625,0.2946,215.20326308967634,2895,97.84681905918049,2653
forest,1,4096,3,1,random,False,20,-1,0.005126953125,0.32089999999999996,112.93557652238927,3775,71.30217387990355,6173
forest,1,4096,3,1,random,False,None,-1,0.0,0.33420000000000005,95.973375937751,3787,70.71067811865473,7554
forest,1,4096,4,1,random,False,2,-1,0.4755859375,0.47729999999999995,3070.0140064827083,23,2176.2881243070715,16
forest,1,4096,4,1,random,False,3,-1,0.535888671875,0.5387,2854.8607671828768,40,1742.296186071704,26
forest,1,4096,4,1,random,False,4,-1,0.309814453125,0.3064,2259.3125337146275,92,1427.511120797312,58
forest,1,4096,4,1,random,False,6,-1,0.30908203125,0.3163,1248.4344696458852,481,471.19210519702057,162
forest,1,4096,4,1,random,False,8,-1,0.27783203125,0.2902,831.8479428357085,944,308.82033611794424,442
forest,1,4096,4,1,random,False,10,-1,0.239013671875,0.28080000000000005,628.1819999013027,2026,135.91909358143917,1012
