model,rep,n_train_samples,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,train_01_error,test_01_error,irm_l2_pen,activated_regions_pen,regions_l2_pen,irm_l2_all,activated_regions_all,regions_l2_all,n_parameters,depth,width
network,1,4096,2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1311.0210053735264,6,1912.1113984284495,48,7,2
network,1,4096,2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1798.467241687066,12,2410.382542253408,72,11,2
network,1,4096,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1588.0265216815544,8,2358.9925815907095,108,17,2
network,1,4096,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1588.323768505652,7,2641.722165557915,156,25,2
network,1,4096,4,1000,0.01,128,0,0.270751953125,0.26959999999999995,1645.7181942847933,9,1694.2355208175748,1645.7181942847933,9,1694.2355208175748,22,1,4
network,1,4096,4;4,1000,0.01,128,0,0.27197265625,0.26659999999999995,1058.954119933909,6,2656.8959332273444,1854.4659440119142,21,1460.0609576315642,42,2,4
network,1,4096,4;4;4,1000,0.01,128,0,0.273193359375,0.27059999999999995,347.81753078621875,6,2997.441242126357,1302.823240441056,43,1208.1920377158592,62,3,4
network,1,4096,4;4;4;4;4,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1117.2030321297912,84,816.349189991636,102,5,4
network,1,4096,4;4;4;4;4;4;4,1000,0.01,128,0,0.272216796875,0.2691,113.27866578685055,3,2979.4133650770923,1218.0411763967415,136,683.7294786682814,142,7,4
network,1,4096,4;4;4;4;4;4;4;4;4;4;4,1000,0.01,128,0,0.27099609375,0.2743,67.55083408774766,3,2880.5357140643127,1266.2456448327275,239,630.7614446048523,222,11,4
network,1,4096,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1349.9857662167728,37,1677.0062611689916,342,17,4
network,1,4096,8,1000,0.01,128,0,0.27294921875,0.2711,491.9399734723738,18,1281.6091447863503,491.9399734723738,18,1281.6091447863503,42,1,8
network,1,4096,8;8,1000,0.01,128,0,0.271240234375,0.27049999999999996,343.26495893296504,10,1958.5800979280882,1059.760551153538,64,873.040663428686,114,2,8
network,1,4096,8;8;8,1000,0.01,128,0,0.265380859375,0.2764,205.5680561138925,29,1424.8929784373277,752.5634617019942,273,465.7660356874468,186,3,8
network,1,4096,8;8;8;8;8,1000,0.01,128,0,0.266845703125,0.2734,100.03419727773093,5,2112.337567719705,740.9905815022215,531,338.69160013203754,330,5,8
network,1,4096,8;8;8;8;8;8;8,1000,0.01,128,0,0.276123046875,0.27849999999999997,72.65151742870812,3,2383.9509223136283,589.4129126789242,507,432.5991215894919,474,7,8
network,1,4096,8;8;8;8;8;8;8;8;8;8;8,1000,0.01,128,0,0.271240234375,0.27749999999999997,43.06961798996659,3,2449.9138760372784,559.9870832842914,537,361.571569678812,762,11,8
network,1,4096,16,1000,0.01,128,0,0.27392578125,0.2693,457.4797681660361,20,1092.0769203677917,457.4797681660361,20,1092.0769203677917,82,1,16
network,1,4096,16;16,1000,0.01,128,0,0.263916015625,0.26849999999999996,295.9645265510084,82,700.2585236896442,584.4558374903639,229,483.5576490967752,354,2,16
network,1,4096,16;16;16,1000,0.01,128,0,0.2578125,0.279,108.88426019427948,13,2002.5254055816617,470.04743868896384,412,374.2325480232846,626,3,16
network,1,4096,16;16;16;16;16,1000,0.01,128,0,0.255615234375,0.2843,39.52890556289156,4,2452.699737024489,335.86062701848493,843,275.91665408235144,1170,5,16
network,1,4096,16;16;16;16;16;16;16,1000,0.01,128,0,0.253173828125,0.2814,37.42974924877978,3,2370.988401489977,328.2510468541447,860,280.10355228022365,1714,7,16
